City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Yaan,NG,7.3833,8.5667,71.8,97,100,4.41,moderate rain
304,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,79.43,53,22,6.58,few clouds
305,Atar,MR,20.5169,-13.0499,90.19,16,33,13.85,scattered clouds
306,Zalantun,CN,48.0,122.7167,43.14,32,0,13.09,clear sky
307,Makat,KZ,47.6469,53.3463,55.6,29,66,16.13,broken clouds
308,Dalianwan,CN,39.0286,121.695,55.44,35,0,4.47,clear sky
309,Vilyuysk,RU,63.7553,121.6247,28.4,83,100,10.25,overcast clouds
310,Saint-Georges,GD,12.0564,-61.7485,82.08,83,40,20.71,scattered clouds
311,Port Lincoln,AU,-34.7333,135.8667,67.59,57,0,7.36,clear sky
312,Pokosnoye,RU,55.5258,101.0536,32.41,79,99,9.08,overcast clouds
313,Hambantota,LK,6.1241,81.1185,79.14,94,20,6.91,few clouds
314,Phan Thiet,VN,10.9333,108.1,84.22,70,95,5.44,overcast clouds
315,Lipari,IT,38.4674,14.954,63.32,52,77,0.56,broken clouds
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.95,88,98,8.88,overcast clouds
317,Faya,SA,18.3851,42.4509,68.11,32,2,6.29,clear sky
318,Jumla,NP,29.2747,82.1838,56.68,94,100,2.93,overcast clouds
319,Narsaq,GL,60.9167,-46.05,37.62,91,21,5.5,few clouds
320,Rodeo,US,38.033,-122.2669,82.65,61,0,8.05,clear sky
321,Gombong,ID,-7.6072,109.5142,79.81,78,95,8.61,overcast clouds
322,San Policarpo,PH,12.1791,125.5072,83.55,79,98,6.71,heavy intensity rain
323,Whyalla,AU,-33.0333,137.5833,74.97,39,1,13.85,clear sky
324,West Wendover,US,40.7391,-114.0733,72.61,25,0,3.44,clear sky
325,Bonthe,SL,7.5264,-12.505,76.87,88,100,1.72,overcast clouds
326,Saint Anthony,US,45.0205,-93.218,66.09,79,0,4.61,clear sky
327,Saint-Pierre,RE,-21.3393,55.4781,64.08,68,0,4.61,clear sky
328,Pimampiro,EC,0.4,-77.9667,60.01,90,98,1.05,light rain
329,Edd,ER,13.9297,41.6925,87.13,68,79,0.92,broken clouds
330,Grindavik,IS,63.8424,-22.4338,43.27,87,75,9.22,broken clouds
331,Lyndon,US,38.2567,-85.6016,62.1,58,0,0.0,clear sky
332,Lahad Datu,MY,5.0268,118.327,85.12,68,91,1.39,overcast clouds
333,Baykit,RU,61.67,96.37,32.86,88,88,3.89,overcast clouds
334,Adrar,MR,20.5022,-10.0711,88.41,14,1,15.75,clear sky
335,Aguimes,ES,27.9054,-15.4461,70.66,78,20,20.71,few clouds
336,Bereda,ES,43.2686,-7.5406,60.42,100,100,7.43,overcast clouds
337,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,66,0,12.66,clear sky
338,Xichang,CN,27.8964,102.2634,67.78,90,98,3.83,overcast clouds
339,Lavrentiya,RU,65.5833,-171.0,38.77,93,100,34.11,light rain
340,Port Blair,IN,11.6667,92.75,77.04,94,75,1.14,mist
341,Lake Havasu City,US,34.4839,-114.3224,97.41,15,0,8.05,clear sky
342,Sarankhola,BD,22.3082,89.7897,81.97,87,33,5.06,scattered clouds
343,Bardiyah,LY,31.7561,25.0865,70.57,61,0,9.4,clear sky
344,Motygino,RU,58.1831,94.7592,32.92,98,100,7.54,light snow
345,Drovyanaya,RU,51.5833,113.0333,32.09,50,9,4.29,clear sky
